stock,1m_ohlcv,5m_ohlcv,15m_ohlcv,1h_ohlcv,daily_ohlcv,weekly_ohlcv,vwap,ema9,ema20,volume,opening_range,current_session_hilo,previous_session_levels,volatility_range,raw_quote,market_depth,option_chain
TCS,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
MAXHEALTH,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
KFINTECH,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
PRESTIGE,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
BHEL,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
RBLBANK,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
HCLTECH,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
ICICIGI,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
HDFCLIFE,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
MARICO,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
LUPIN,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
COFORGE,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
TECHM,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
SWIGGY,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
PERSISTENT,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
OBEROIRLTY,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
SUPREMEIND,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
LAURUSLABS,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
AMBUJACEM,REQUIRED,REQUIRED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,NOT_REQUIRED
